,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
12400,2017-10-08,622,44.494886679,-91.30019117,Other Non Domesticated,,Trempealeau,2017,County HighwayO
12548,2017-10-14,447,43.88346604,-88.58379997,Other Non Domesticated,,Fond du Lac,2017,Interstate041
12627,2017-10-08,22,42.96751919,-90.09225781,Other Non Domesticated,,Iowa,2017,US Highway018
12922,2017-10-01,211,44.943893046,-92.53066456,Other Non Domesticated,,St. Croix,2017,Interstate094
13066,2017-10-22,1900,44.470730703,-88.59319776,Other Non Domesticated,,Outagamie,2017,State Highway076
13402,2017-10-23,1915,44.766432769,-92.25691814,Other Non Domesticated,,Pierce,2017,County HighwayCC
14676,2017-10-18,1910,43.574078275,-90.61026777,Other Non Domesticated,,Vernon,2017,State Highway082
15404,2017-11-07,538,43.050156748,-88.29565548,Other Non Domesticated,,Waukesha,2017,Interstate094
15582,2017-11-07,1949,43.429726958,-89.07510295,Other Non Domesticated,,Columbia,2017,County HighwayCD
16323,2017-11-11,1515,44.819513104,-87.61987017,Other Non Domesticated,,Door,2017,County HighwayC
16468,2017-11-12,745,44.039308988,-89.91512178,Other Non Domesticated,,Adams,2017,State Highway021
16742,2017-11-14,1730,43.594160653,-89.93170877,Other Non Domesticated,,Sauk,2017,County HighwayH
18225,2017-11-13,1533,43.193414881,-89.26427409,Other Non Domesticated,,Dane,2017,County HighwayC
18342,2017-11-26,1740,44.620506181,-92.3960858,Other Non Domesticated,,Pierce,2017,County HighwayD
18442,2017-11-18,2200,44.444277774,-91.77506828,Other Non Domesticated,,Buffalo,2017,State Highway037
18847,2017-12-03,630,43.5748,-91.0371,Other Non Domesticated,,Vernon,2017,County HighwayO
19136,2017-12-03,845,42.818591688,-89.73467087,Other Non Domesticated,,Green,2017,County HighwayJ
19471,2017-12-12,1030,44.678170264,-91.44774944,Other Non Domesticated,,Eau Claire,2017,State Highway093
19672,2017-12-17,1248,44.297624666,-88.3028485,Other Non Domesticated,,Outagamie,2017,Interstate041
20154,2017-12-20,504,44.150850163,-87.80162146,Other Non Domesticated,,Manitowoc,2017,County HighwayT
20347,2017-12-29,1530,43.221928538,-88.26172449,Other Non Domesticated,,Washington,2017,State Highway164
20553,2017-12-19,2136,42.833757753,-87.91418977,Other Non Domesticated,,Racine,2017,State Highway038
20653,2018-01-01,1115,43.891403633,-87.77146562,Other Non Domesticated,,Sheboygan,2018,Interstate043
20702,2018-01-02,350,43.414096595,-87.89098364,Other Non Domesticated,,Ozaukee,2018,County HighwayB
20785,2018-01-05,1728,42.915461507,-90.80773917,Other Non Domesticated,,Grant,2018,BADGER RD - Grant
21789,2018-01-26,108,43.114698788,-89.28668024,Other Non Domesticated,,Dane,2018,Interstate039
22352,2018-02-09,1957,43.575793933,-90.35889881,Other Non Domesticated,,Vernon,2018,WESTERN RD - Vernon
