,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
4710,2017-05-05,1107,44.912778179,-91.42816602,Turkey,,Chippewa,2017,US Highway053
4744,2017-05-08,829,45.205167455,-90.40535899,Turkey,,Taylor,2017,County HighwayM
4751,2017-05-08,1936,44.59934032,-89.6589361,Turkey,,Portage,2017,US Highway010
4759,2017-05-08,735,43.101521986,-88.40336742,Turkey,,Waukesha,2017,State Highway016
4777,2017-05-09,359,44.728341854,-88.05162837,Turkey,,Oconto,2017,W FRONTIER RD - Oconto
4783,2017-05-06,1000,42.852479416,-88.91121675,Turkey,,Jefferson,2017,State Highway026
4804,2017-05-02,1335,45.177844869,-89.59062208,Turkey,,Lincoln,2017,State Highway064
4812,2017-05-09,710,43.753463845,-87.78270536,Turkey,,Sheboygan,2017,State Highway023
4940,2017-05-02,1725,43.334417963,-88.18993205,Turkey,,Washington,2017,US Highway045
4952,2017-05-11,800,43.70020898,-88.37952861,Turkey,,Fond du Lac,2017,County HighwayV
4965,2017-05-06,1000,45.125766535,-89.23752999,Turkey,,Langlade,2017,County HighwayY
4975,2017-05-06,1318,44.560804946,-91.18142201,Turkey,,Trempealeau,2017,Interstate094
4982,2017-05-13,621,43.858956696,-88.9004688,Turkey,,Green Lake,2017,State Highway023
5055,2017-05-13,1141,44.448413537,-87.95123448,Turkey,,Brown,2017,Interstate043
5120,2017-05-11,1900,43.093472041,-89.6030985,Turkey,,Dane,2017,US Highway014
5154,2017-05-15,1650,43.302800362,-87.92050196,Turkey,,Ozaukee,2017,Interstate043
5163,2017-05-15,1900,43.049504,-88.34476563,Turkey,,Waukesha,2017,Interstate094
5219,2017-05-17,1030,45.003470155,-87.30996633,Turkey,,Door,2017,State Highway042
5268,2017-05-12,1755,44.961221158,-88.25369629,Turkey,,Oconto,2017,County HighwayA
5442,2017-05-21,1043,43.599995513,-90.13183192,Turkey,,Sauk,2017,State Highway033
5513,2017-05-23,1445,44.048001056,-88.79099238,Turkey,,Winnebago,2017,State Highway021
5631,2017-05-24,1849,43.407930433,-87.93244747,Turkey,,Ozaukee,2017,State Highway057
5726,2017-05-28,618,44.952942445,-89.49173201,Turkey,,Marathon,2017,County HighwayJ
5770,2017-05-21,1122,44.64947504,-88.76207587,Turkey,,Waupaca,2017,County HighwayD
5857,2017-05-30,629,43.71776224,-87.78675886,Turkey,,Sheboygan,2017,State Highway028
6036,2017-05-19,1142,45.645083799,-89.59380028,Turkey,,Oneida,2017,County HighwayK
6097,2017-05-16,1858,42.731893268,-88.46094865,Turkey,,Walworth,2017,Interstate043
6207,2017-05-28,1431,43.448638495,-88.81851594,Turkey,,Dodge,2017,US Highway151
6228,2017-05-23,924,43.332841581,-88.26253551,Turkey,,Washington,2017,Interstate041
6415,2017-05-25,1029,44.79705474,-88.83453961,Turkey,,Shawano,2017,State Highway029
6419,2017-05-02,1740,43.697440161,-87.99070622,Turkey,,Sheboygan,2017,County HighwayE
6579,2017-06-02,1400,43.64868087,-88.17138871,Turkey,,Fond du Lac,2017,County HighwayF
6695,2017-06-01,2116,43.940034479,-90.64372703,Turkey,,Monroe,2017,Interstate090
6738,2017-06-01,1420,43.092677947,-89.59952641,Turkey,,Dane,2017,US Highway014
6767,2017-06-07,904,43.795478138,-89.36286207,Turkey,,Marquette,2017,State Highway023
7021,2017-06-07,815,43.463503528,-89.2640035,Turkey,,Columbia,2017,State Highway016
7052,2017-06-12,1317,43.490550908,-89.77719636,Turkey,,Sauk,2017,County HighwayBD
7115,2017-06-08,1810,45.85508305,-92.25738746,Turkey,,Burnett,2017,DONGOLA RD - Burnett
7225,2017-06-12,744,44.212002954,-88.41813389,Turkey,,Winnebago,2017,State Highway114
